step;time_ps;potential_energy_kJ_mol;kinetic_energy_kJ_mol;total_energy_kJ_mol;temperature_K
161;1,61;-109,421248241667;7541,70930935182;7432,28806111015;302,353046561131
162;1,62;-106,735926516426;7495,11959018967;7388,38366367324;300,485228146328
163;1,63;-104,672587703969;7450,92367566894;7346,25108796497;298,71337923877
164;1,64;-103,289228878206;7440,1371449672;7336,847916089;298,280938755356
165;1,65;-102,110443133915;7512,42792962518;7410,31748649127;301,17913306159
166;1,66;-101,479570995291;7552,44787798514;7450,96830698985;302,783564207571
167;1,67;-101,838584660849;7569,20714038948;7467,36855572863;303,45545619362
168;1,68;-102,998149761304;7583,84901354854;7480,85086378723;304,042460382646
169;1,69;-104,80115098406;7588,14086159211;7483,33971060805;304,214523939875
170;1,7;-106,922305502594;7590,43936053302;7483,51705503043;304,30667256677
171;1,71;-109,007068671652;7624,76127631287;7515,75420764121;305,682665113577
172;1,72;-110,826600522639;7627,53831755878;7516,71171703614;305,793998877142
173;1,73;-112,451424923842;7626,94544262215;7514,49401769831;305,770230055517
174;1,74;-113,802114701777;7613,26712110137;7499,46500639959;305,221855408072
175;1,75;-114,979954815164;7587,17453679398;7472,19458197881;304,175783220139
176;1,76;-115,818565857385;7551,33904005575;7435,52047419837;302,739110024528
177;1,77;-116,222390586934;7530,02980955779;7413,80741897085;301,884806245815
178;1,78;-116,315148749734;7479,89936192051;7363,58421317078;299,875037246921
179;1,79;-116,086942168782;7506,11768113232;7390,03073896354;300,926150245877
180;1,8;-115,585800589935;7492,48055933793;7376,89475874799;300,379427327805
181;1,81;-114,874558321363;7494,59775595812;7379,72319763676;300,464307402338
182;1,82;-114,157941402384;7478,29070861544;7364,13276721306;299,810545073105
183;1,83;-113,564308345693;7477,45491893877;7363,89061059308;299,777037608861
184;1,84;-112,879479700775;7496,19430831462;7383,31482861384;300,528314439626
185;1,85;-111,993481839779;7488,50532922836;7376,51184738859;300,2200572321
186;1,86;-110,48010921045;7530,81032823655;7420,3302190261;301,916097852365
187;1,87;-108,420841478099;7472,48433655755;7364,06349507945;299,57776305922
188;1,88;-106,18390939389;7464,7322587848;7358,54834939092;299,266976175819
189;1,89;-103,942126695734;7442,61119518436;7338,66906848863;298,380125370727
190;1,9;-102,426765587808;7440,48933578889;7338,06257020108;298,295058361873
191;1,91;-101,731191748746;7445,15025787914;7343,4190661304;298,481918387361
192;1,92;-101,67287339208;7398,29210010659;7296,61922671451;296,603338057938
193;1,93;-102,770877986416;7395,71248292864;7292,94160494222;296,499919180238
194;1,94;-105,284657297909;7421,54107554105;7316,25641824314;297,535407733883
195;1,95;-108,185852773058;7465,1960323056;7357,01017953254;299,285569220336
196;1,96;-110,869705530236;7466,68817983031;7355,81847430007;299,345390585959
197;1,97;-113,216347029617;7496,4937442568;7383,27739722718;300,540319061609
198;1,98;-115,10174772003;7500,54161542467;7385,43986770464;300,702601394366
199;1,99;-116,641337840366;7549,89121066533;7433,24987282496;302,681065407699
200;2;-117,905298971221;7560,77466176035;7442,86936278913;303,117391505762
201;2,01;-118,899011190846;7615,41419067843;7496,51517948758;305,307933112897
202;2,02;-119,572659571495;7638,21848841948;7518,64582884799;306,222175311034
203;2,03;-119,925973176325;7625,16911867412;7505,24314549779;305,699015834001
204;2,04;-119,909328365948;7641,19659982966;7521,28727146372;306,341570135328
205;2,05;-119,41582506612;7624,16889173019;7504,75306666407;305,658915950627
206;2,06;-118,366911643955;7584,95701746224;7466,59010581828;304,086881129345
207;2,07;-116,575681995931;7594,79014085893;7478,214458863;304,48109876546
208;2,08;-113,998132382513;7633,44802606353;7519,44989368102;306,030923730303
209;2,09;-111,076080545374;7629,28959195284;7518,21351140746;305,864208842375
210;2,1;-109,155332906306;7670,79768904881;7561,64235614251;307,5283010394
211;2,11;-108,947894930526;7629,91683299988;7520,96893806936;305,889355428345
212;2,12;-110,052392800236;7659,2217494238;7549,16935662356;307,064212532556
213;2,13;-111,689319235145;7673,12407890233;7561,43475966719;307,621567834877
214;2,14;-113,258642419247;7691,04206691474;7577,78342449549;308,33991404017
215;2,15;-114,496017666824;7704,2705680924;7589,77455042558;308,870255036945
216;2,16;-115,002969786562;7710,66985407712;7595,66688429056;309,126807435603
217;2,17;-114,431424862743;7773,15702528641;7658,72560042367;311,631967182703
218;2,18;-112,847775935045;7779,89961870386;7667,05184276881;311,90228304584
219;2,19;-110,429011710208;7779,67533969396;7669,24632798375;311,893291524271
