step;time_ps;potential_energy_kJ_mol;kinetic_energy_kJ_mol;total_energy_kJ_mol;temperature_K
176;1,76;3,81002730040822;555546,43859076;555550,24861806;22272,29283497
177;1,77;3,72802744495919;544561,98777336;544565,715800805;21831,9175787501
178;1,78;3,33323470137549;534020,375273184;534023,708507886;21409,2960583021
179;1,79;2,82095967000687;523765,619182563;523768,440142233;20998,1748364995
180;1,8;2,23182963934482;513418,488941746;513420,720771385;20583,3502625005
181;1,81;1,56744541037395;503198,518322155;503200,085767566;20173,6236175386
182;1,82;0,86843555772244;492883,491782452;492884,36021801;19760,0861061192
183;1,83;0,53658583147756;483167,454955235;483167,991541066;19370,5625624888
184;1,84;0,424675411897624;473815,254556431;473815,679231843;18995,6255068902
185;1,85;0,281471765411233;464511,974920717;464512,256392483;18622,6497230875
186;1,86;0,2701715269792;455546,550435335;455546,820606862;18263,2188174826
187;1,87;0,372532258028992;446951,285577039;446951,658109297;17918,6279019082
188;1,88;0,416681007303888;438161,072619305;438161,489300312;17566,2213639902
189;1,89;0,389167822600483;429322,354780938;429322,74394876;17211,8702273307
190;1,9;0,295649729680742;420603,577377298;420603,873027028;16862,3275968544
191;1,91;0,186981634745602;412524,081709832;412524,268691467;16538,4142730265
192;1,92;0,0645599871586091;404522,692817693;404522,75737768;16217,6323111364
193;1,93;0;396788,338273249;396788,338273249;15907,5559658712
194;1,94;0;388898,245095385;388898,245095385;15591,2359365351
195;1,95;0;381513,067349705;381513,067349705;15295,1583632411
196;1,96;317,648416596272;373912,330130953;374229,978547549;14990,4388414543
197;1,97;187,425747253739;366650,083847745;366837,509594999;14699,2896869938
198;1,98;103,287494471014;359869,428836351;359972,716330822;14427,4479046762
199;1,99;55,9929212162303;352926,511685347;352982,504606563;14149,1009058036
200;2;31,4653430791174;345694,085905473;345725,551248552;13859,1472787312
201;2,01;17,4711022306011;339097,045781569;339114,516883799;13594,6667613935
202;2,02;10,4384317937987;332743,809952751;332754,248384545;13339,9605496355
203;2,03;7,12228570518358;326072,26062402;326079,382909725;13072,4928997855
204;2,04;5,26010171266745;319690,82794459;319696,088046303;12816,6562541516
205;2,05;4,15029466681683;313457,671694722;313461,821989388;12566,7641269779
206;2,06;4,51773210315274;307228,674211845;307233,191943948;12317,0387280377
207;2,07;5,79893660261819;301365,532675284;301371,331611887;12081,9807811874
208;2,08;7,92749457260763;296036,15929251;296044,086787082;11868,3220186379
209;2,09;10,4166264450086;290568,734039745;290579,15066619;11649,1286482479
210;2,1;12,4616971107853;285104,014548704;285116,476245815;11430,0437539694
211;2,11;13,0721259393992;279583,530736687;279596,602862626;11208,7232242872
