step;time_ps;potential_energy_kJ_mol;kinetic_energy_kJ_mol;total_energy_kJ_mol;temperature_K
114;1,14;-114,963446179722;7484,61972374532;7369,6562775656;300,064280258029
115;1,15;-115,762955049743;7511,05349294172;7395,29053789198;301,124030815998
116;1,16;-116,433910410296;7535,62981803764;7419,19590762734;302,109314981859
117;1,17;-116,750096944292;7510,94354598976;7394,19344904547;301,119622956384
118;1,18;-116,858556716207;7476,01061286773;7359,15205615152;299,719134244672
119;1,19;-116,668080528423;7447,43691548993;7330,7688349615;298,573592286036
120;1,2;-116,285637225759;7417,75601414463;7301,47037691887;297,383661651173
121;1,21;-115,598129191797;7417,63742509696;7302,03929590516;297,378907323158
122;1,22;-114,545808463387;7419,94172226669;7305,3959138033;297,471288405599
123;1,23;-113,104500125033;7415,33980056492;7302,23530043988;297,286793752
124;1,24;-111,247965735009;7426,97432557341;7315,7263598384;297,753230992859
125;1,25;-108,678819517724;7421,21300579585;7312,53418627813;297,522255160258
126;1,26;-105,293314171897;7463,49601956494;7358,20270539304;299,217414375029
127;1,27;-101,527974215308;7415,98593081945;7314,45795660414;297,312697621126
128;1,28;-98,144282243105;7461,34127058883;7363,19698834572;299,131028797068
129;1,29;-96,0867789718853;7479,48885057426;7383,40207160238;299,858579524793
130;1,3;-95,5211796292007;7472,66358107106;7377,14240144186;299,584949112476
131;1,31;-96,4981632927432;7452,93025473982;7356,43209144708;298,793824568914
132;1,32;-98,6233903275652;7476,33471219002;7377,71132186245;299,732127640925
133;1,33;-101,106589527366;7486,28278548202;7385,17619595465;300,13095370858
134;1,34;-103,325146791034;7493,59472338524;7390,2695765942;300,424095039096
135;1,35;-104,734211910199;7474,96568431351;7370,23147240331;299,677242238649
136;1,36;-105,042160771582;7468,93030977383;7363,88814900225;299,435279335499
137;1,37;-103,940547883321;7522,34111682515;7418,40056894183;301,57656051843
138;1,38;-101,569859164856;7544,996800634;7443,42694146915;302,484844667362
139;1,39;-98,1648743354875;7546,47754929287;7448,31267495738;302,544209043504
140;1,4;-95,5875195236019;7514,51983564828;7418,93231612468;301,262999216232
141;1,41;-92,6982784595814;7530,36470778984;7437,66642933026;301,898232578838
142;1,42;-91,2742542163619;7569,59089367487;7478,31663945851;303,470841164083
143;1,43;-91,3699218162215;7572,40191199794;7481,03199018171;303,583537095344
144;1,44;-92,9161372253531;7545,41993130963;7452,50379408428;302,501808308311
145;1,45;-95,7722551178175;7574,87761322099;7479,10535810317;303,682789900837
146;1,46;-98,9656699198598;7549,75192578148;7450,78625586162;302,675481367365
147;1,47;-102,267720940076;7505,02636965114;7402,75864871106;300,882398711901
148;1,48;-105,001628739704;7510,49804004938;7405,49641130968;301,101762273506
149;1,49;-107,267356731981;7514,96261627505;7407,69525954307;301,280750639149
150;1,5;-109,103689768695;7483,15848164322;7374,05479187453;300,00569791506
151;1,51;-110,373586652735;7498,12505841909;7387,75147176635;300,605719726981
152;1,52;-111,060674883415;7509,06496739619;7398,00429251277;301,044309265857
153;1,53;-111,539106483313;7538,28703635754;7426,74792987423;302,215844950258
154;1,54;-111,783451406529;7551,83980613351;7440,05635472698;302,759186129694
155;1,55;-111,671863061043;7587,84988341564;7476,1780203546;304,202858396358
156;1,56;-111,154869274075;7593,67175052994;7482,51688125586;304,436261619219
157;1,57;-110,460538423374;7591,70930731282;7481,24876888945;304,357585730098
158;1,58;-109,449151097956;7562,02767016727;7452,57851906932;303,167625596426
159;1,59;-108,035844586406;7592,66020162563;7484,62435703922;304,395707829564
160;1,6;-106,060501594965;7566,75472776351;7460,69422616855;303,357137046266
161;1,61;-103,339783702678;7540,38382338355;7437,04403968087;302,299906788138
162;1,62;-100,609324613897;7493,64643863728;7393,03711402338;300,426168344147
163;1,63;-98,4297552985394;7449,45669368962;7351,02693839109;298,654566779617
164;1,64;-96,890736684154;7438,47391907944;7341,58318239528;298,21425872386
165;1,65;-95,5790885158462;7510,83413583924;7415,25504732339;301,115236617561
166;1,66;-94,9094493736831;7550,81597940526;7455,90653003157;302,718140112439
167;1,67;-95,286167418163;7567,75983864891;7472,47367123074;303,397432730688
