n_update;cutoff_factor;n_seeds;speedup_valid;speedup_median;list_error_max;cutoff_error_max;total_error_valid;total_error_max;list_force_absolute_l2_max_kJ_per_mol_nm;cutoff_force_absolute_l2_max_kJ_per_mol_nm;total_force_absolute_l2_max_kJ_per_mol_nm;list_energy_absolute_error_max_kJ_mol;cutoff_energy_absolute_error_max_kJ_mol;total_energy_absolute_error_max_kJ_mol;n_missing_pairs_max;missed_pair_fraction_max;acceptable
29;2,7;3;3;1581,920982617568;0,002962194445411073;0,005352556983265745;3;0,006098947427167679;0,7898537732365656;1,4473751055925732;1,6263391736168697;0,345591781665874;8,440286296406114;8,674651590615255;22;0,028132992327365727;True
29;2,8;3;3;1456,7785524334324;0,002070450673185076;0,004344289923917311;3;0,004804584803938369;0,5765588545651751;1,1857656371555683;1,3215438828903086;0,2852263589167592;7,54306002981258;7,773592547388233;26;0,028768699654775604;True
29;2,9;3;3;1463,6531259742785;0,0018551150224017504;0,003541632862625525;3;0,003986644842966276;0,4947012142933519;0,9709705398284605;1,069322538311507;0,2777822326590922;6,78699956298567;7,004085269284815;32;0,0328879753340185;True
29;3,0;3;3;1455,6685028701586;0,001563721251350471;0,0029638120189760765;3;0,0033597631034215426;0,4429374201200095;0,8075420089896213;0,9025747578031466;0,22606642753730455;6,119776779916577;6,343878333386144;28;0,025949953660797033;True
30;1,0;3;3;2185,258648731654;1,0;0,40063070670046047;3;1,0;125341,3854940398;191,94573734497715;125341,54614264378;1526,520142605537;123,08249664731974;1412,9947566662172;7;1,0;False
30;2,0;3;3;1736,2657908996225;0,01555281925682896;0,023806563363995854;3;0,02824356762757116;8,882677689117868;7,438791370942639;11,292532481991486;1,9167168093949272;20,67336160725236;21,99500726673648;18;0,05625;False
30;2,1;3;3;1647,550870688492;0,013042836161288353;0,018041594279643886;3;0,02174384035578481;7,86556759735542;5,66462965075673;9,501092035110268;1,2984734671137943;17,79486400121354;18,66850003941275;18;0,04891304347826087;False
30;2,2;3;3;1702,415493775909;0,009772112227811052;0,013601915772327704;3;0,0168268086895832;5,119812664187344;4,334689373169214;6,635456994262938;0,9307993140633641;15,387736191070402;16,052291225308196;17;0,03953488372093023;False
30;2,3;3;3;1698,8657873179097;0,00560221102316979;0,01073213230581324;3;0,011934949063248068;2,625789318866623;3,4814670904769454;4,187105643324667;0,8002569138113529;13,466480583438326;13,975239517644354;20;0,0411522633744856;False
30;2,4;3;3;1656,1415817623586;0,004799158975787878;0,008613408775364614;3;0,009898691875800258;2,091948974111963;2,7610898844411573;3,41059829985773;0,6642008636235346;12,04785517317174;12,523298015031102;20;0,03717472118959108;True
