n_update,cutoff_factor,n_seeds,speedup_valid,speedup_median,list_error_max,cutoff_error_max,total_error_valid,total_error_max,list_force_absolute_l2_max_kJ_per_mol_nm,cutoff_force_absolute_l2_max_kJ_per_mol_nm,total_force_absolute_l2_max_kJ_per_mol_nm,list_energy_absolute_error_max_kJ_mol,cutoff_energy_absolute_error_max_kJ_mol,total_energy_absolute_error_max_kJ_mol,n_missing_pairs_max,missed_pair_fraction_max,acceptable
10,12.0,3,3,319.07263711852613,0.00030144563687485506,0.00043234183413653083,3,0.0005324574415881279,1.5810226750478975e-05,1.793420116965646e-05,2.383099560782132e-05,2.067309712980303e-05,0.00019690626199801373,0.00021374981570512763,12,0.08823529411764706,True
10,13.0,3,3,311.3043836196348,0.000224373852728331,0.00026738500183733164,3,0.0003524375166360617,9.284929401993711e-06,1.1634581945452113e-05,1.4584401619528109e-05,1.3667921537646732e-05,0.0001513196207648844,0.00016275036747117125,13,0.0755813953488372,True
10,14.0,3,3,296.71831891047754,9.496698274845858e-05,0.0001884080032698823,3,0.00021102165071982406,5.11971207023458e-06,7.819461618661725e-06,9.358501576736024e-06,9.333926677609905e-06,0.00012280160627345382,0.00013106407937936784,13,0.06046511627906977,True
10,15.0,3,3,291.2847326193346,7.043067872347986e-05,0.00012134243419381016,3,0.00013892367252078038,2.914521690532466e-06,5.401529446370427e-06,5.748873218596581e-06,6.497473254270247e-06,9.755746650272346e-05,0.00010059827481051498,15,0.05434782608695652,True
11,1.0,3,3,450.7670854599633,,1.0,3,1.0,0.0,31.706317204542692,31.706317204542692,0.0,0.8257994968772194,0.8257994968772194,0,0.0,False
11,2.0,3,3,449.09288975173473,1.0,1.0,3,1.0,4.996681580269101,0.2871409272900674,4.9969816941540275,0.3316649559938201,0.04607434915115517,0.34567729448989293,1,1.0,False
11,2.5,3,3,456.37470517432854,1.0,1.0,3,1.0,4.996681580269101,0.1660242515022052,4.996983005554932,0.3316649559938201,0.033235101309228056,0.3456897673753533,1,1.0,False
11,3.0,3,3,453.3769269766535,1.0,1.0,3,1.0,0.16889076143046594,0.049736425125679704,0.17025359020863862,0.01688707701844546,0.017877995797698297,0.028149655907071122,1,1.0,False
11,5.0,3,3,440.8023861520064,0.14079660571616698,0.07080273251743086,3,0.14170859290572851,0.023312417315136974,0.0025420187962193514,0.02338105167044464,0.004122104774197555,0.0032819058667278474,0.006495073926634148,4,0.4,False
11,7.5,3,3,409.149262564016,0.003350102074714163,0.007747350183748426,3,0.008440498433261522,0.0003639694099663796,0.00026580533453310346,0.0004319707794270884,0.00022674095496016955,0.0008193692364357637,0.0009695556955441331,6,0.15789473684210525,True
11,10.0,3,3,365.6620631936755,0.0008832738383363694,0.001351683993889521,3,0.0016396452956047782,6.606508654663092e-05,4.924035293638985e-05,7.963687357651924e-05,4.579557753331409e-05,0.00032607394056093433,0.0003503340534899979,7,0.08433734939759036,True
