n_update,cutoff_factor,cutoff_radius_nm,seed,original_runtime_s,optimized_runtime_s,speedup,list_force_relative_l2,cutoff_force_relative_l2,total_force_relative_l2,list_force_absolute_l2_kJ_per_mol_nm,cutoff_force_absolute_l2_kJ_per_mol_nm,total_force_absolute_l2_kJ_per_mol_nm,list_energy_absolute_error_kJ_mol,cutoff_energy_absolute_error_kJ_mol,total_energy_absolute_error_kJ_mol,n_missing_pairs_max,missed_pair_fraction_max
10,15.0,5.1000000000000005,2,38.32349537499249,0.13105095800710842,292.43201238493623,1.5596083836501263e-05,4.308617897501814e-05,4.575708925091192e-05,2.7110713704579944e-06,4.989006237852278e-06,5.638189036648752e-06,5.594287059207392e-06,9.454696860705658e-05,0.00010014125566626397,13,0.05327868852459016
14,7.5,2.5500000000000003,3,38.47436808299972,0.07348325004568323,523.5801091960533,0.0040870054003232376,0.0029616715424494885,0.00502766807858784,0.0009534076361255492,0.00026836963164147054,0.0009944796085865355,0.00032183146842446053,0.0008119575378870494,0.00109737970750734,7,0.19444444444444445
13,10.0,3.4000000000000004,1,37.92647200002102,0.08135824999772012,466.1662707971696,0.0012596632744520026,0.000952987875191081,0.0016045352385023737,0.00011395751551972335,4.464722366557721e-05,0.00012249547463621675,7.257007259744985e-05,0.0003036522405467888,0.0003721207931776452,9,0.1
13,2.5,0.8500000000000001,2,38.32349537499249,0.06992533296579495,548.0631088841438,1.0,0.512908684737398,1.0,0.6225941442939646,0.12364527975671573,0.6241064006680318,0.05200842453104723,0.026281861270461376,0.06823747426543869,1,1.0
12,7.5,2.5500000000000003,1,37.92647200002102,0.08613433298887685,440.3177070509009,0.004432694369287473,0.00812996187488151,0.00927987852766395,0.0003391361278445328,0.0002398631835052921,0.00041069975883991467,0.00021576554285716865,0.0007902503352730742,0.0009553079302470138,6,0.13333333333333333
9,14.0,4.760000000000001,3,38.47436808299972,0.14524879195960239,264.88597642657487,3.750074307654713e-05,9.50398542156499e-05,9.938055455674894e-05,4.369735370544336e-06,7.775846907396039e-06,8.987591983363558e-06,8.083569596053358e-06,0.00012069432838622898,0.00012877789798228234,12,0.055299539170506916
10,10.0,3.4000000000000004,3,38.47436808299972,0.11442941700806841,336.2279481008532,0.00026004329781134314,0.0006327743309902417,0.0006857617260830526,3.618408000487263e-05,5.0897675281070174e-05,5.515975592710898e-05,3.281591001275119e-05,0.0003322788218464712,0.0003431879371272213,6,0.07058823529411765
12,14.0,4.760000000000001,3,38.47436808299972,0.10705975000746548,359.37285562797246,3.9364490419909365e-05,9.321066696515204e-05,0.00010082851208266576,4.180526915086566e-06,7.914423435892328e-06,8.973335881006985e-06,7.703905543571948e-06,0.0001248598887431951,0.00013043870919196912,12,0.056338028169014086
12,14.0,4.760000000000001,2,38.32349537499249,0.10892633401090279,351.82947928052516,3.478598399551474e-05,4.846144701453469e-05,5.9446196588318296e-05,5.663013066873004e-06,7.563570149267342e-06,9.225970779767675e-06,1.1291182486605766e-05,0.00011940749152117291,0.00012816518894670503,17,0.08854166666666667
13,2.5,0.8500000000000001,3,38.47436808299972,0.07162379199871793,537.173012058457,0.0,1.0,1.0,0.0,0.16708010130876313,0.16708010130876313,0.0,0.03351618863436238,0.03351618863436238,0,0.0
14,14.0,4.760000000000001,1,37.92647200002102,0.09809225000208244,386.64086101823403,0.0001537303671090937,0.00017669018266118196,0.00023670580430184125,6.801891162874068e-06,7.902347030178653e-06,1.047318932609797e-05,1.2843345210490631e-05,0.0001201268013074075,0.0001327080074618528,15,0.06912442396313365
13,10.0,3.4000000000000004,2,38.32349537499249,0.08448337501613423,453.621737622031,0.00013603422155623816,0.0001804505450919276,0.00022344789471764174,4.581473336590509e-05,4.552300998625412e-05,6.36249429567313e-05,3.6974640306032536e-05,0.00029364714673843495,0.00032579625102630017,6,0.0759493670886076
14,1.0,0.34,1,37.92647200002102,0.06507708400022238,582.7930458576081,,1.0,1.0,0.0,0.22701254575411786,0.22701254575411786,0.0,0.04148024058236488,0.04148024058236488,0,0.0
10,7.5,2.5500000000000003,1,37.92647200002102,0.10875304200453684,348.739412718578,0.004420828670683246,0.0054741109556561435,0.0070339726087911185,0.0002917547893314676,0.0002326012440636052,0.00036008118898521815,0.0001684102135938656,0.0007529984982319743,0.0009214087118258399,5,0.11363636363636363
9,12.0,4.08,3,38.47436808299972,0.13123045902466401,293.1816924893075,9.73831780030779e-05,0.0002142588619214589,0.00023591807425339724,1.206644166582233e-05,1.760095715069233e-05,2.1169725236247718e-05,1.602012447768364e-05,0.00019458403359304613,0.0002071670664254635,9,0.06870229007633588
14,14.0,4.760000000000001,3,38.47436808299972,0.09874529100488871,389.6324340276127,4.6554794889724066e-05,8.498768265204133e-05,9.673078207126471e-05,4.977432617021641e-06,7.701094555895546e-06,9.05714634893486e-06,1.0018897709046515e-05,0.00012139209963044073,0.00013075353181235538,15,0.06912442396313365
